Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2018-03-21,157.88,157.88,158.1,157.75,158.0,490.66K,2018-03-21 19:59:59-04:00
2018-03-22,158.96,158.96,159.0,158.05,158.09,948.82K,2018-03-22 19:59:59-04:00
2018-03-23,158.87,158.87,159.01,158.55,158.9,714.82K,2018-03-23 19:59:59-04:00
2018-03-26,158.93,158.93,158.95,158.59,158.87,539.22K,2018-03-26 19:59:59-04:00
2018-03-27,159.23,159.23,159.42,158.73,158.77,733.47K,2018-03-27 19:59:59-04:00
2018-03-28,159.31,159.31,159.69,159.12,159.3,824.21K,2018-03-28 19:59:59-04:00
2018-03-29,159.43,159.43,159.48,159.14,159.24,578.41K,2018-03-29 19:59:59-04:00
2018-04-03,159.3,159.3,159.61,159.07,159.57,702.62K,2018-04-03 19:59:59-04:00
2018-04-04,159.47,159.47,159.66,159.22,159.28,705.99K,2018-04-04 19:59:59-04:00
2018-04-05,159.11,159.11,159.26,158.89,159.22,720.30K,2018-04-05 19:59:59-04:00
2018-04-06,159.5,159.5,159.57,159.15,159.24,531.41K,2018-04-06 19:59:59-04:00
2018-04-09,159.3,159.3,159.49,159.24,159.44,487.94K,2018-04-09 19:59:59-04:00
2018-04-10,159.05,159.05,159.59,159.0,159.34,877.26K,2018-04-10 19:59:59-04:00
2018-04-11,159.5,159.5,159.65,159.17,159.17,665.49K,2018-04-11 19:59:59-04:00
2018-04-12,159.29,159.29,159.52,159.15,159.4,659.30K,2018-04-12 19:59:59-04:00
2018-04-13,159.34,159.34,159.37,158.95,159.29,600.23K,2018-04-13 19:59:59-04:00
2018-04-16,159.15,159.15,159.27,158.74,159.24,622.22K,2018-04-16 19:59:59-04:00
2018-04-17,159.34,159.34,159.45,158.95,159.09,584.95K,2018-04-17 19:59:59-04:00
2018-04-18,159.05,159.05,159.55,158.96,159.26,753.07K,2018-04-18 19:59:59-04:00
2018-04-19,158.17,158.17,159.04,158.06,159.03,1.09M,2018-04-19 19:59:59-04:00
2018-04-20,158.13,158.13,158.4,157.9,158.28,744.54K,2018-04-20 19:59:59-04:00
2018-04-23,157.8,157.8,157.97,157.62,157.88,861.85K,2018-04-23 19:59:59-04:00
2018-04-24,157.76,157.76,158.04,157.43,157.88,759.49K,2018-04-24 19:59:59-04:00
2018-04-25,157.72,157.72,157.88,157.45,157.88,741.00K,2018-04-25 19:59:59-04:00
2018-04-26,158.31,158.31,158.46,157.74,157.79,752.36K,2018-04-26 19:59:59-04:00
2018-04-27,158.66,158.66,158.78,158.38,158.38,647.94K,2018-04-27 19:59:59-04:00
2018-04-30,158.74,158.74,158.91,158.38,158.64,606.83K,2018-04-30 19:59:59-04:00
2018-05-02,158.59,158.59,158.7,158.44,158.68,612.13K,2018-05-02 19:59:59-04:00
2018-05-03,159.26,159.26,159.35,158.43,158.65,894.94K,2018-05-03 19:59:59-04:00
2018-05-04,159.08,159.08,159.39,159.05,159.14,626.75K,2018-05-04 19:59:59-04:00
2018-05-07,159.31,159.31,159.42,159.07,159.1,254.13K,2018-05-07 19:59:59-04:00
2018-05-08,158.85,158.85,159.28,158.77,159.25,547.05K,2018-05-08 19:59:59-04:00
2018-05-09,158.85,158.85,158.9,158.52,158.79,585.28K,2018-05-09 19:59:59-04:00
2018-05-10,159.07,159.07,159.25,158.81,158.84,572.67K,2018-05-10 19:59:59-04:00
2018-05-11,158.85,158.85,159.16,158.79,158.92,421.37K,2018-05-11 19:59:59-04:00
2018-05-14,158.14,158.14,159.01,158.12,158.98,747.33K,2018-05-14 19:59:59-04:00
2018-05-15,157.76,157.76,158.17,157.61,158.13,832.07K,2018-05-15 19:59:59-04:00
2018-05-16,158.18,158.18,158.5,157.84,157.9,1.09M,2018-05-16 19:59:59-04:00
2018-05-17,157.87,157.87,158.39,157.73,158.02,905.26K,2018-05-17 19:59:59-04:00
2018-05-18,158.67,158.67,158.82,157.8,157.82,777.69K,2018-05-18 19:59:59-04:00
2018-05-21,159.24,159.24,159.5,158.61,158.64,803.28K,2018-05-21 19:59:59-04:00
2018-05-22,158.9,158.9,159.43,158.74,159.38,958.51K,2018-05-22 19:59:59-04:00
2018-05-23,159.76,159.76,159.84,159.03,159.06,1.20M,2018-05-23 19:59:59-04:00
2018-05-24,160.22,160.22,160.29,159.31,159.7,1.06M,2018-05-24 19:59:59-04:00
2018-05-25,161.02,161.02,161.34,160.05,160.09,1.33M,2018-05-25 19:59:59-04:00
2018-05-28,161.93,161.93,162.0,160.29,160.75,857.65K,2018-05-28 19:59:59-04:00
2018-05-29,162.8,162.8,164.15,161.79,161.86,1.72M,2018-05-29 19:59:59-04:00
2018-05-30,162.02,162.02,163.06,161.41,163.04,1.63M,2018-05-30 19:59:59-04:00
2018-05-31,162.14,162.14,162.23,160.95,161.75,1.47M,2018-05-31 19:59:59-04:00
2018-06-01,161.46,161.46,161.83,160.99,161.67,1.23M,2018-06-01 19:59:59-04:00
2018-06-04,160.89,160.89,161.42,160.78,161.24,1.74M,2018-06-04 19:59:59-04:00
2018-06-05,161.46,161.46,161.68,160.81,160.82,1.89M,2018-06-05 19:59:59-04:00
2018-06-06,160.24,160.24,161.32,159.94,161.06,600.58K,2018-06-06 19:59:59-04:00
2018-06-07,159.57,159.57,160.14,159.54,160.12,31.81K,2018-06-07 19:59:59-04:00
2018-06-08,160.4,160.4,161.13,160.18,160.23,959.96K,2018-06-08 19:59:59-04:00
2018-06-11,159.74,159.74,160.22,159.55,160.22,623.12K,2018-06-11 19:59:59-04:00
2018-06-12,159.85,159.85,159.92,159.37,159.84,634.99K,2018-06-12 19:59:59-04:00
2018-06-13,160.07,160.07,160.22,159.63,159.8,620.45K,2018-06-13 19:59:59-04:00
2018-06-14,160.71,160.71,160.85,159.45,160.0,953.59K,2018-06-14 19:59:59-04:00
2018-06-15,161.16,161.16,161.52,160.75,160.88,792.24K,2018-06-15 19:59:59-04:00
2018-06-18,161.15,161.15,161.41,161.02,161.17,456.23K,2018-06-18 19:59:59-04:00
2018-06-19,161.53,161.53,161.86,161.46,161.49,721.42K,2018-06-19 19:59:59-04:00
2018-06-20,161.51,161.51,161.69,161.31,161.43,521.73K,2018-06-20 19:59:59-04:00
2018-06-21,162.15,162.15,162.35,161.26,161.31,977.02K,2018-06-21 19:59:59-04:00
2018-06-22,162.1,162.1,162.24,161.8,162.15,536.05K,2018-06-22 19:59:59-04:00
2018-06-25,162.23,162.23,162.57,162.01,162.34,510.18K,2018-06-25 19:59:59-04:00
